TEXT;Age group;Gender;TOPICS
There are very willing sellers here;< 30;Male;Staff
Action missing;< 30;Male;Availability of goods | Availability of promo goods
Nice just big deal;60+;Male;Space
There is a wide selection of goods and good prices;60+;Male;Pricing | Range of goods
They have everything I need, I have no complaints;60+;Male;Range of goods
Spacious shop can easily choose what I need;60+;Male;Look and feel | Range of goods
I am satisfied here, the shop just right, shopping here well.;30 - 60;Male;Look and feel | Space
Large store large selection;30 - 60;Female;Space | Range of goods
There is little space and space;60+;Male;Space
I don't know, I'd rather shop somewhere else, and I don't talk much with my friends about where to shop;30 - 60;Female;Arrangement of the store
They have a good offer of goods, nice environment. There's more order here lately.;30 - 60;Female;Look and feel | Range of goods | Cleanliness
I come here for a small purchase I'm happy;60+;Male;Range of goods
After reconstruction I am satisfied;60+;Female;Look and feel
There is no pleasant shopping atmosphere;30 - 60;Female;Look and feel
Pleasant small shop domesticated;< 30;Female;Look and feel | Space
There are big queues at the checkout;60+;Male;Queues
More discounts on fruits and vegetables;< 30;Male;Promotions
I got it close and it is good for a smaller day shopping;< 30;Female;Look and feel | Proximity
Otherwise, I am satisfied here;30 - 60;Male;Other
There is no whole grain bread;60+;Male;Range of bakery | Range of goods
I make private calls to customers;60+;Male;Staff
Spaciously, more offers, more goods, fresh welcome.;60+;Female;Space | Range of goods
Queues at the box office are sometimes;60+;Male;Queues
Sometimes it happens that the goods are sold out, but otherwise satisfaction. Nice staff.;30 - 60;Female;Availability of goods
I bet when I go around working;< 30;Female;Other
He likes it. Cheap prices. I buy everything here;< 30;Female;Pricing | Range of goods
They have fresh delicacies and a large selection;< 30;Male;Range of goods | Quality of goods
Nothing. Errors happen .......;60+;Female;Other
Good food, I don't wait at checkout;< 30;Female;Queues | Quality of goods
Large assortment;< 30;Female;Range of goods
Expand the overall range, product quality and more space in the store and behind the cash registers.;< 30;Male;Space | Range of goods | Quality of goods
Open more cash registers, there are queues;30 - 60;Female;Queues
I like it here, selection of dairy products, quality meat;< 30;Female;Quality of meat | Range of goods | Quality of goods
Queues at the box office and they had nothing to look for, the pastries did not look nice;30 - 60;Male;Availability of goods | Queues | Quality of bakery | Range of goods | Quality of goods
I do not like the arrangement of newspapers.;< 30;Female;Clarity
Convenient actions friendly service;30 - 60;Female;Promotions | Staff
Make more goods and nicer service;30 - 60;Female;Availability of goods | Range of goods | Staff
After the reconstruction I do not know much but it is about the habit otherwise everything is fine;60+;Female;Arrangement of the store
I have no comment on anything;30 - 60;Female;Other
I am satisfied with the whole business;< 30;Male;Arrangement of the store | Range of goods
My store has a heartbeat;< 30;Male;Look and feel
Nothing comes to mind what bothers me;60+;Female;Other
Thursdays on merchandise on Thursday, but no longer in the afternoon;60+;Male;Availability of goods | Availability of promo goods
Clear goods, well fruits and vegetables;30 - 60;Female;Quality of FV | Clarity | Quality of goods
I am quite happy here, the choice of good, well arranged;60+;Male;Look and feel | Clarity | Range of goods
There are even better stores, buys daily;< 30;Female;Other
Sometimes there is no pastry, sometimes goods are not in action;60+;Male;Proximity
It is expensive here, nothing is there, other things are superfluous.;< 30;Male;Pricing | Range of goods
It has a long opening time;60+;Female;Opening hours
Signs and price tags are not;< 30;Female;Price Tags
I like it here. It's close, they have fresh food…;< 30;Female;Availability of goods | Proximity
More people at the checkout, discuss the assortment of fruits and vegetables.;< 30;Female;Range of FV | Queues | Range of goods
New and sufficient assortment;30 - 60;Male;Availability of goods | Range of goods
Reconstruction, shop innovation;< 30;Male;Look and feel
Great wines.;60+;Male;Quality of goods
Good prices and a large selection of goods, good events.;60+;Female;Pricing | Promotions | Range of goods
Large selection and fresh food;30 - 60;Female;Availability of goods | Range of goods
I'm modest and I like it here;30 - 60;Male;Look and feel
It's pretty narrow here, cramped;30 - 60;Female;Space
Check price tags, pick vegetables;60+;Female;Quality of FV | Price Tags | Quality of goods
All right, I'm busy by bus;60+;Female;Promotions
You cannot ride a basket as goods are under construction;60+;Male;Space
Arrangements and packaging of cheese are changing;30 - 60;Female;Arrangement of the store
There are minor flaws;30 - 60;Female;Other
Coffers could be faster;30 - 60;Female;Queues
Larger assortment, long queues;30 - 60;Female;Queues | Range of goods
Clean the shop, quality of goods.;30 - 60;Male;Cleanliness | Quality of goods
Sometimes I wait longer at the cash registers but it's not terrible;30 - 60;Male;Queues
A good selection of muesli bars.;< 30;Female;Range of goods
It is more spacious than before reconstruction;30 - 60;Female;Space
Long waiting at the cash desk little opening cash registers;30 - 60;Male;Queues
It is long open, close to other shops.;30 - 60;Female;Opening hours | Proximity
I like the business of being big and there's a lot of stuff;< 30;Female;Space | Range of goods
There are self-service checkouts;30 - 60;Female;Self-checkout
There are very willing sellers here;30 - 60;Female;Staff
It could be open even longer.;30 - 60;Female;Opening hours
Prices do not match the quality of the goods;< 30;Male;Pricing | Price Tags | Quality of goods
There are no queues in the morning, there is a clear shop;30 - 60;Female;Queues | Clarity
Discount, more action and expand the range;< 30;Female;Pricing | Promotions | Range of goods
Pleasant service, fast check-in;30 - 60;Female;Queues | Staff
Shopping is good here and it's better than other supermarkets;30 - 60;Female;Look and feel
Buy everything, fresh, nice staff;< 30;Female;Range of goods | Staff | Quality of goods
I'm not happy about meat.;30 - 60;Male;Quality of meat | Quality of goods
I connect shopping with entertainment and it is a large area, a lot of space, I buy well with a pram;30 - 60;Female;Space
There are long queues and narrowed my assortment;30 - 60;Male;Queues | Range of goods
Cages for shops;60+;Male;Cleanliness
Good dairy;30 - 60;Female;Quality of goods
Pleasant team otherwise everything in order;30 - 60;Female;Staff
Good choice nice shop added;30 - 60;Female;Availability of goods | Look and feel | Range of goods
There is little light, the queue at the box office;< 30;Male;Queues
Satisfied, I have close to the house, I buy regularly;30 - 60;Female;Proximity
Great offer of food, fresh food;30 - 60;Female;Range of goods | Quality of goods
We can find everything we like with fruits and vegetables;60+;Male;Availability of goods | Quality of FV | Quality of goods
After reconstruction it is very good, it has benefited, it has a level;30 - 60;Male;Look and feel
I do not like change, I have to get used to the new arrangement, but the goods here improved;30 - 60;Female;Arrangement of the store | Look and feel | Range of goods | Quality of goods
On the road work. well parking;30 - 60;Male;Parking
Price tags I have to watch and receipts otherwise service perfect;< 30;Female;Price Tags
Sometimes miss action and no pastry in the evening.;30 - 60;Female;Availability of goods | Availability of bakery | Availability of promo goods
Better organize groceries at the store;60+;Female;Arrangement of the store | Clarity
It is a bit better than consumption in our country.;< 30;Female;Other
It would take a little bit to modernize it's older;30 - 60;Female;Look and feel
Sometimes I wonder if the staff is tired and uncomfortable, especially for dinner;30 - 60;Female;Staff
There is no place to park, to improve the freshness of vegetables;60+;Female;Quality of FV | Parking | Quality of goods
I don't really like it here;60+;Male;Look and feel
Missing goods from the event, more complement;< 30;Male;Availability of goods | Availability of promo goods
Large selection of dairy products, nice vegetables;< 30;Male;Quality of FV | Range of goods | Quality of goods
Willingly give advice and explain everyone;30 - 60;Female;Staff
Clear, well-marked, shop, wide product offer, helpful staff;60+;Female;Arrangement of the store | Clarity | Range of goods | Staff
Sometimes I don't get the goods in action anymore.;60+;Male;Availability of goods | Availability of promo goods
Not enough parking and too many people.;30 - 60;Male;Queues | Parking
Good choice of meat and sausages, I get what I want;60+;Male;Look and feel | Range of meat | Range of goods
I like the assortment of goods, I come here a lot for clothing and baby supplies;60+;Male;Range of goods
We also have other products, fresh bread and cheese, whatever we want.;60+;Female;Availability of goods | Quality of bakery | Range of goods | Quality of goods
Harder to orientate in business, junior in order;60+;Male;Arrangement of the store
To open more cash registers and freshness of meat;30 - 60;Female;Quality of meat | Queues | Quality of goods
Super shop, good assortment;< 30;Female;Range of goods
It's near the house. And it's also a habit.;60+;Male;Proximity
So we can improve here, for example, in the transparency and search for goods;30 - 60;Female;Arrangement of the store | Clarity
Because my store has shrunk and I feel small;30 - 60;Male;Space | Range of goods
Overall reduce prices, otherwise there is no problem;30 - 60;Female;Pricing
A big shop and I can get clothes and drugstores and cleaning products;< 30;Female;Space | Range of goods
It's pretty small here, but there's nothing I can do about it;30 - 60;Female;Space
Good offer fruit.;< 30;Female;Quality of FV | Quality of goods
I got it at the house. Good fresh meat and sausages.;< 30;Male;Quality of meat | Proximity | Quality of goods
Fresh fruits and vegetables, pastries, well arranged;60+;Female;Quality of FV | Quality of bakery | Clarity | Range of bakery | Range of goods | Quality of goods
Large shop, large assortment;< 30;Female;Space | Range of goods
We like to shop here regularly;< 30;Male;Look and feel
I go here often to shop, I am always satisfied, good staff.;30 - 60;Male;Availability of goods | Staff
Renovation helped, space in the aisles of fresh food;60+;Male;Space | Quality of goods
I am satisfied here, it is clear;60+;Male;Look and feel | Clarity
Cheaper food and perhaps even evaluate staff;30 - 60;Female;Pricing | Staff
There's a large selection of convenient shopping, good action crack self checkout;< 30;Female;Queues | Promotions
A small shop, sometimes it's a problem to park;30 - 60;Female;Parking | Space
Because there's too little space.;30 - 60;Female;Space
Good choice, action, shop is not too big to orientate;60+;Female;Arrangement of the store | Clarity | Promotions | Range of goods
The store is outdated, everything should be remodeled.;30 - 60;Female;Space
Because it is good to buy here, a good selection of sliced sausages and salad;< 30;Male;Range of goods | Quality of goods
They have good action prices. Wide range of goods.;< 30;Male;Pricing | Promotions | Range of goods
Convenient and wide range of products;60+;Male;Arrangement of the store | Clarity | Range of goods
Well complemented, nice vegetables, friendly service;60+;Male;Availability of goods | Quality of FV | Staff | Quality of goods
Spacious, quite clear, good assortment;30 - 60;Female;Look and feel | Clarity | Range of goods
We are satisfied with everything I buy here;30 - 60;Female;Range of goods
Good shopping, large parking, great choice.;60+;Male;Parking | Range of goods
Shop super all fresh goods no problem;< 30;Male;Look and feel | Range of goods | Quality of goods
Great selection, action;60+;Male;Promotions | Range of goods
Self-service checkout otherwise I can think of nothing;30 - 60;Female;Self-checkout
They have great events and a large parking lot;< 30;Male;Parking | Promotions
They reduced the original selection of goods and cash registers;30 - 60;Female;Range of goods
There is confusion, narrow streets, no carriage ride;60+;Male;Space
Fresh fruits and vegetables, staff, selection;30 - 60;Male;Quality of FV | Range of goods | Staff | Quality of goods
Mostly there are replenished goods, not much queues, shop in a good place;< 30;Male;Availability of goods | Queues
It's a big deal, a good choice, a club card;30 - 60;Female;Availability of goods | Vouchers, loyalty | Space | Range of goods
We are satisfied here. There's space.;30 - 60;Female;Look and feel
It's a nice shop, they have it here modified, supplemented;< 30;Male;Availability of goods | Look and feel | Clarity
Added the delicacies this is great, I like it;< 30;Male;Range of goods
Great shopping here, all in one place;< 30;Female;Availability of goods | Look and feel | Range of goods
Shopping here is quite cheap and that is an advantage.;30 - 60;Female;Pricing
When I go to Brno, I buy something to travel here;30 - 60;Male;Availability of goods
Because it's close and I don't have much time.;30 - 60;Male;Proximity
I like it here super shop;< 30;Female;Look and feel
Every mall has something. So we'll order them all.;60+;Male;Look and feel
Spacious and clear shop.;< 30;Male;Look and feel | Clarity
It's just a business, I'm close;30 - 60;Male;Space | Proximity
Reconstruction, newer version of the shop.;60+;Female;Other
Assortment, events, quick check-in at the cash register.;< 30;Male;Availability of goods | Queues | Range of goods | Availability of promo goods
Transparency, staff, distance;60+;Female;Arrangement of the store | Clarity | Staff
Pleasant shop and friendly staff;< 30;Male;Look and feel | Staff
Because there is a good choice, it is cozy. I like it here;< 30;Male;Look and feel | Range of goods
Long queues at the cash registers bothers me;60+;Male;Queues
I don't know anything, it's good;30 - 60;Female;Other
Queue and evening is not pastry;60+;Male;Availability of goods | Queues | Availability of bakery
Expensive goods;< 30;Male;Pricing
Very small rooms and there is no choice of yogurt.;< 30;Male;Space | Range of goods
We live around the corner, watching events,;30 - 60;Male;Promotions | Proximity
It bothers me the failure of the store.;60+;Female;Arrangement of the store
It's cheap, easy to access, I have it close;60+;Female;Pricing | Proximity
There is a large assortment. Pretty nice vegetables;< 30;Male;Quality of FV | Range of goods | Quality of goods
I have no comments on this;60+;Female;Other
Nothing I need at all;30 - 60;Female;Availability of goods | Range of goods
I have it close, it is good to shop here and there is a butcher shop.;< 30;Female;Quality of meat | Proximity | Quality of goods
Sometimes there is no pastry and specialty items in the morning;< 30;Female;Availability of goods | Availability of bakery | Availability of promo goods
Satisfaction only queue big, always;30 - 60;Male;Queues
Self-service checkouts should be made for cash;30 - 60;Male;Self-checkout
Satisfied, mostly everything is, choice, freshness.;< 30;Female;Look and feel | Range of goods | Quality of goods
It's a small and sometimes queue;60+;Male;Queues | Space
I got it closest, I like it, it's just big;60+;Male;Look and feel | Space | Proximity
Lots of discounts and big discounts especially for fruits;30 - 60;Female;Promotions
It bothers homeless people and strangers;30 - 60;Male;Security
Well-arranged store is a good choice for me here;< 30;Male;Availability of goods | Clarity | Range of goods
It's a very small business. You can't go through.;< 30;Male;Availability of goods | Space
It improved a lot, friendly staff;< 30;Male;Look and feel | Staff
It's cool here, good range;60+;Male;Look and feel | Range of goods
We'll get everything;30 - 60;Male;Range of goods
Large selection of vegetables;< 30;Male;Range of FV | Range of goods
There is a lot of action cheap but advice at checkout every time;< 30;Male;Pricing | Promotions
It's first class here, it's a big, nice assortment;60+;Male;Space | Range of goods
Self-service checkout complies;60+;Male;Self-checkout
Daily, very good shopping here.;60+;Male;Look and feel
They do not have Czech fruit;60+;Male;Range of FV | Range of goods
I always buy here;< 30;Male;Range of goods
Varied assortment. Drugstore events. Small assortment of milk and yogurt.;30 - 60;Male;Promotions | Range of goods
Uncomfortable staff, expired goods, poorly labeled goods, low food quality.;60+;Female;Price Tags | Staff | Quality of goods
Long queues and little staff at the store;< 30;Female;Queues | Staff
Large selection and fresh food;60+;Male;Availability of goods | Range of goods
I don't know it just feels that way;30 - 60;Female;Other
I shop here every day, new, nice.;30 - 60;Male;Look and feel
Prices do not fit, confusing arrangement;< 30;Female;Clarity | Price Tags
Fresh and good quality food is bought here;30 - 60;Female;Look and feel | Quality of goods
There are very good events and fresh food;< 30;Female;Promotions | Quality of goods
There are no rolls and buns in the evening;30 - 60;Female;Availability of goods | Availability of bakery
They have everything and within easy reach of their residence;60+;Male;Range of goods | Proximity
Quality, modern and cheap shop;60+;Female;Look and feel | Pricing | Quality of goods
Sometimes there are large queues so they could add employees;< 30;Male;Queues | Staff
Wrong prices all the time, the cash registers have old prices;30 - 60;Female;Price Tags
Long-time self-service checkout for small purchases.;60+;Male;Opening hours | Self-checkout
Small selection of dia products and too expensive prices.;< 30;Female;Pricing | Range of goods
Clean and pretty fresh bakery shop;60+;Female;Quality of bakery | Cleanliness | Quality of goods
Excellent pastry;60+;Female;Quality of bakery | Quality of goods
Price tags do not match the price of cash;60+;Female;Price Tags
Safety should be improved and some foods better organized.;30 - 60;Female;Security | Arrangement of the store
Put the self-checkout here;< 30;Male;Self-checkout
fresh pastry clean and clear shop.;60+;Male;Quality of bakery | Clarity | Cleanliness | Quality of goods
I love coming here. They have it cheap and the bread is really good.;< 30;Male;Pricing | Quality of bakery | Quality of goods
Customer service at ticket offices and toilets for children.;60+;Male;Staff
Selection, quality;60+;Male;Range of goods | Quality of goods
I do not know I am satisfied, there is nothing to improve;30 - 60;Female;Look and feel
I like it here, so I come here.;60+;Female;Look and feel
Small space, concentrated, missing prices for goods;30 - 60;Female;Clarity | Space | Price Tags
Large spacious shop with quite a good selection of goods;< 30;Male;Space | Range of goods
Occasionally cash registers, self-service do not take cash;< 30;Female;Queues | Self-checkout
I have it near the house and that's an advantage;30 - 60;Female;Proximity
There was no freezer and premium fish thawed. Freeze them again, at least give a warning or a discount.;30 - 60;Female;Promotions | Price Tags
We don't like vegetables, otherwise I'm happy.;60+;Male;Quality of FV | Quality of goods
For small shopping well so it has to be taken;< 30;Male;Look and feel
Improve the quality of countertop goods. The price of fruit vegetables is lidka;30 - 60;Female;Quality of FV | Pricing | Quality of goods
They have nice goods, and a little different products than in other chains.;< 30;Female;Range of goods
Transparency, fruits and vegetables;60+;Male;Quality of FV | Clarity | Quality of goods
Because it is confusing, though well stocked.;30 - 60;Female;Arrangement of the store | Clarity
Narrow streets for shopping are here;60+;Female;Space
There's nothing here, it's old, there's no choice of bread or vegetables;30 - 60;Female;Range of FV | Look and feel | Range of bakery | Range of goods
Good shop, I buy better here than in big stores;30 - 60;Male;Look and feel
Great choice, large parking, take food stamps, cleanliness;30 - 60;Male;Parking | Vouchers, loyalty | Range of goods | Cleanliness
Don't pick fruits;< 30;Female;Quality of FV | Quality of goods
I wouldn't change the arrangement of the goods to the stores;30 - 60;Female;Arrangement of the store
Nice shopping environment, a large selection of food;60+;Female;Look and feel | Range of goods
I have it on the road and satisfied;< 30;Male;Look and feel
I miss the opportunity to have a cup of coffee and sit down.;60+;Female;Other
I think there is nothing to improve the popular business;< 30;Female;Look and feel
Goods cages are confused between shelves, removed.;30 - 60;Female;Arrangement of the store
Expensive butter, sometimes long queues at the checkout;60+;Male;Queues | Pricing
Checkout for quick purchases when there are a few items.;60+;Female;Other
It seems a little confusing here;30 - 60;Male;Arrangement of the store | Clarity
"The counters at the cash register are short;";60+;Male;Arrangement of the store | Space
Bad quality. meat;60+;Male;Quality of meat | Quality of goods
The pastry could sometimes improve;60+;Female;Availability of goods | Availability of bakery | Quality of bakery | Quality of goods
It's a short walk from the barrack, it's cheap;< 30;Male;Pricing | Proximity
I'm not demanding I like it here;60+;Male;Look and feel
After reconstruction everything ok, everything fresh;< 30;Female;Quality of goods
Has a long opening time special offers a large selection of goods;60+;Female;Availability of goods | Opening hours | Promotions | Range of goods | Availability of promo goods
Some cashiers are slow and then I wait a long time at the cashier.;< 30;Female;Queues | Staff
There is a pleasant environment and choice;60+;Female;Look and feel | Range of goods
Everything's fine here I like it here;60+;Male;Look and feel
Shop mainly from standing and I do not care more;< 30;Female;Look and feel
Quick shopping is here at hand, good pastry;60+;Female;Quality of bakery | Proximity | Quality of goods
More discounts and promotions, wider offer;< 30;Male;Promotions | Range of goods
Poor pastry quality;< 30;Male;Quality of bakery | Quality of goods
Few open cash registers;< 30;Female;Queues
Prices on the shelf do not agree with reality;< 30;Female;Price Tags
It's a big, spacious business with everyone;< 30;Male;Space | Range of goods
I'm getting good here.;< 30;Female;Other
Unsatisfactory assortment of vegetables and pastries.;60+;Male;Range of FV | Range of bakery | Range of goods
How they remade it is clear and a lot to get it.;60+;Male;Clarity | Range of goods
I buy here a clear shop;30 - 60;Female;Look and feel | Clarity
Nice shop spacious large selection I am satisfied;60+;Female;Space | Range of goods
I got her closest and ma in, take;30 - 60;Female;Range of goods | Proximity
Super business, I have no comments;< 30;Male;Look and feel
They'll help me with my shopping bags;< 30;Male;Staff
Nice service, a lot of good assortment;< 30;Female;Range of goods | Staff | Quality of goods
I park well here and buying is fast, it is a small shop.;60+;Male;Parking | Range of goods
Large well-arranged shop is a lot of places here so I have a nice shopping here;60+;Male;Look and feel | Clarity | Range of goods
Super selection, good goods and great events;30 - 60;Male;Availability of goods | Promotions | Range of goods | Quality of goods
Cheap prices and buy by leaflet.;< 30;Female;Availability of goods | Pricing | Promotions | Availability of promo goods
Excellent selection of healthy food;60+;Male;Range of goods
I got it here a bit, good shopping, events;30 - 60;Female;Availability of goods | Promotions | Proximity
Very nice shop, friendly staff;30 - 60;Female;Look and feel | Staff
For large purchases ideal;30 - 60;Male;Range of goods
Good store layout.;30 - 60;Female;Arrangement of the store | Look and feel
There are no queues at the checkout;30 - 60;Female;Queues | Pricing
Satisfied only a long wait for a small purchase;30 - 60;Male;Queues
Great choice, good shopping, cheap prices.;60+;Male;Pricing | Range of goods
Missing goods in the leaflet, I like the magazine with recipes;30 - 60;Female;Availability of goods | Availability of promo goods
Well accessible from the highway.;< 30;Male;Other
More discounts and promotions, wider offer;< 30;Female;Promotions | Range of goods
It is close here, quality and assortment of goods;60+;Female;Range of goods | Proximity | Quality of goods
Don't have Aha magazine, they have good prices;60+;Male;Range of goods
I recommend quality food.;30 - 60;Female;Range of goods | Quality of goods
I only come here in urgent cases;30 - 60;Male;Other
Sausages have improved in quality.;< 30;Female;Quality of goods
They have self-service checkouts;30 - 60;Male;Self-checkout
Bad price tags for goods and queues for delicatessen;30 - 60;Female;Queues | Price Tags
Sometimes I wait at the box office but I don't mind;< 30;Male;Queues
I got it closest.;30 - 60;Female;Proximity
I like the choice of bread.;30 - 60;Female;Range of bakery | Range of goods
They have everything they need, take food vouchers, have interesting seasonal goods or now Easter decorations and sweets. Good sweet pastry.;30 - 60;Female;Look and feel | Quality of bakery | Vouchers, loyalty | Promotions | Range of goods | Quality of goods
Small assortment, poor quality of goods;30 - 60;Female;Range of goods | Quality of goods
Complies with assortment and clarity;30 - 60;Male;Clarity | Range of goods
Occasionally I have a way around.;30 - 60;Male;Other
More bio product, more space at checkout and checkout.;30 - 60;Female;Space | Range of goods
Helpful staff, assortment, clarity;60+;Female;Clarity | Range of goods | Staff
It's near, fresh food.;60+;Male;Quality of goods
Large queues, goods disappear quickly.;< 30;Female;Availability of goods | Queues | Availability of promo goods
Company;60+;Male;Other
I don't really like it here. Probably few cultural and old;60+;Male;Look and feel
Canceled counter sales of sausages and salad, it is missing here.;< 30;Male;Range of goods
Some saleswoman's behavior is terrible;< 30;Female;Staff
Well available;30 - 60;Female;Other
The store is cool nothing I do not mind here;< 30;Female;Look and feel
I park well here and the shop is not big so I have bought fast.;60+;Female;Parking | Space
They're taking meal vouchers, I like it;< 30;Male;Vouchers, loyalty
Clear, clean, large selection.;60+;Male;Arrangement of the store | Clarity | Range of goods | Cleanliness
Shop in order everything super mainly employees.;< 30;Female;Look and feel | Staff
Self-service checkout also for cash;30 - 60;Male;Self-checkout
Clearly, delicatessen and sausages;< 30;Male;Clarity | Quality of goods
Clean and well-arranged shop I can find everything here;< 30;Female;Arrangement of the store | Clarity | Cleanliness
near home and there is everything;< 30;Female;Availability of goods | Range of goods
Good pastry and I can slice bread, but also good vegetables.;30 - 60;Female;Quality of FV | Quality of bakery | Quality of goods
Great deal. And there are few people.;60+;Male;Queues | Space
Good offer, good quality shop and it's close;60+;Female;Look and feel | Range of goods | Proximity | Quality of goods
I feel good here. It's airy here and when I ask someone something, it always answers me;30 - 60;Male;Look and feel | Space | Staff
Not much more viable shop selling with crates;60+;Female;Arrangement of the store | Clarity
Availability, quiet pleasant environment;60+;Male;Arrangement of the store | Look and feel | Clarity
Quiet shopping, pleasant environment, range;60+;Female;Look and feel | Range of goods
Willingly give advice and explain everyone;< 30;Male;Staff
There is good space, lots of goods, Tchibo;30 - 60;Female;Space | Range of goods
Fresh fish every day;60+;Female;Other
"When arriving at the upper street entrance it would be great to make a raid on the wheelchair for older pensioners;";60+;Male;Arrangement of the store | Vouchers, loyalty
There are no queues;< 30;Male;Queues
Fresh food, good choice, fresh offer;< 30;Female;Availability of goods | Range of goods | Quality of goods
I really like it here. It's nice here.;30 - 60;Male;Look and feel
More frequent food events at some and self checkout could be made for cash.;60+;Female;Self-checkout | Promotions
Long waiting for the boxes to be returned, a box machine should be made.;30 - 60;Male;Queues
Sometimes there are queues;60+;Male;Queues
Clear, clean, nice selection;< 30;Female;Clarity | Range of goods | Cleanliness
I like you, everything's fine;60+;Male;Look and feel
Because they cheat customers and have badly labeled goods;< 30;Male;Price Tags
I have it near a large selection of goods;< 30;Female;Range of goods | Proximity
It's in the center of it suits me and conveniently chooses;60+;Female;Availability of goods | Range of goods
Freshness, professionalism, cleanliness;30 - 60;Female;Staff | Cleanliness | Quality of goods
Sometimes I come here for action items, but there are too many people and long queues for me.;< 30;Female;Queues
Small shop, same goods, expensive vegetables,;30 - 60;Female;Pricing | Range of goods
Large queues bad vegetables and meat is sometimes bad.;30 - 60;Male;Quality of FV | Quality of meat | Queues | Quality of goods
I would imagine the store so that it was fun for me to shop here and not poison;30 - 60;Male;Look and feel
More vegetables, more often check price tags.;30 - 60;Male;Quality of FV | Price Tags | Quality of goods
Nice reconstruction of the shop.;30 - 60;Female;Look and feel
Self-service cash desks and cash.;< 30;Female;Self-checkout
Queues at checkout. Small selection of goods.;60+;Male;Queues | Range of goods
I buy cheaply here and quickly without queues;30 - 60;Female;Queues | Pricing
Small choice, high prices;60+;Female;Pricing | Range of goods
Quick purchase, for how small it is, there is a good choice;< 30;Female;Space | Range of goods
Selection and prices. Even if they do not have anything, you can choose;30 - 60;Female;Availability of goods | Pricing | Range of goods
I like this shop, choice of bakery and evening.;30 - 60;Female;Availability of goods | Look and feel | Availability of bakery | Range of bakery | Range of goods
Put away the ATM and prefer to have a place at the checkout and to clean up your shopping;30 - 60;Female;Queues
Good availability, good layout;< 30;Female;Arrangement of the store | Clarity | Proximity
Either occupy more cash registers to set up self-service;60+;Male;Queues | Self-checkout
Reduce prices overall and occasionally queue at checkout.;30 - 60;Male;Queues | Pricing
Sometimes I'm happy and sometimes I'm not;< 30;Male;Other
We combine shopping with cinema or entertainment and make good shopping. Fresh and nice fruit.;< 30;Female;Quality of FV | Look and feel | Quality of goods
Large shop, well-arranged goods ..;60+;Female;Clarity | Space
Sometimes the basic goods are missing;60+;Female;Availability of goods
Better organization at the store with more experienced staff;< 30;Male;Arrangement of the store | Staff
Perhaps the self-service checkouts could be here;< 30;Female;Self-checkout
More goods in action at no empty shelf;30 - 60;Male;Availability of goods | Arrangement of the store | Availability of promo goods
Far from the house;< 30;Female;Proximity
Fill in price tags, clean up the mess;30 - 60;Female;Price Tags | Cleanliness
It would require a refurbishment of the store;< 30;Male;Look and feel
Satisfied. Well sliced sausages are coming here.;30 - 60;Female;Quality of goods
The staff is sometimes reluctant;30 - 60;Male;Staff
I both mind two floors and down broken cash registers;30 - 60;Female;Arrangement of the store
There could be a larger selection of beer and alcohol at the store;30 - 60;Male;Range of goods
More action and discount goods.;30 - 60;Male;Pricing | Promotions
Unpacked goods, cubicles for goods in the aisles, can not pass.;60+;Female;Availability of goods | Arrangement of the store
For me, confusing arrangement;30 - 60;Male;Arrangement of the store | Clarity
