SENTIMENT;TEXT
Positive;I do good business here, small and big shopping
Negative;goods in action quickly sold out and missing the toilet for customers
Negative;Otherwise nothing to enlarge the store
Negative;There are queues at the box office, I do not go to self-service
Positive;Clear, matched and completed, good selection
Negative;Flowers poor condition.
Negative;Other prices on receipt and at checkout
Positive;For those smaller purchases it's handy here.
Positive;It's very close to me on the road
Positive;I like it is a small shop.
Positive;Large and well-arranged store, have the best bakery, still fresh.
Positive;Space, assortment, choice
Positive;Pleasant shopping environment, a large selection of pastries
Positive;Quality and affordable
Positive;There are good events and affordable prices.
Positive;Nice shop, friendly staff.
Negative;It is a small shop, missing assortment
Negative;Certainly waiting at the ticket offices
Positive;Few people
Positive;Store size, friendly environment and prices
Positive;I have no reason to be dissatisfied here, everything is necessary and friendly staff.
Positive;It is very well arranged to buy here
Positive;Large space little people nice staff
Positive;It's cheap, fresh vegetables
Negative;Higher prices for goods but I like this shop
Positive;It is a spacious, wide range of goods
Positive;Good shopping here, small queues, fresh food.
Negative;More open cash registers, better vegetables.
Negative;Missing orientation sign on the ceiling
Positive;I am satisfied, quality food
Negative;Because there is not everything that is mentioned in the events. Otherwise it's fine
Negative;I chose, but the cash registers will get worse
Positive;They have fresh meat and sausages. Cheaper prices.
Positive;There are not many people here and they have a large selection of fruits and vegetables
Positive;I would definitely recommend, just look around here, it is clear, clean, spacious, good shopping here.
Positive;Large selection of pastries fresh meat, although sometimes it turns quality veggie, fruit OK.
Negative;High prices, small assortment
Neutral;Nothing. Errors happen .......
Negative;More busy cash registers at the store
Positive;It's pretty good here and a lot of things
Positive;Shop suits me advice I buy here
Negative;Well it seems to me that there are a lot of things, but somehow crowded it here
Neutral;It's a normal shop. I'll buy what I need
Negative;I would open more cash registers during peak hours
Neutral;It's a normal business, I don't know what to say.
Positive;The best selection of fruits and vegetables and especially everything is fresh
Positive;New nicely reconstructed, spacious, cleaner.
Positive;It's all here at hand and clear
Positive;Well, everything at hand, it's close.
Positive;Nicely decorated, clean. There is a large selection of sausages.
Positive;I have no complaints everything is in order
Positive;I am happy, it can always improve
Positive;Quality, great choice, food
Negative;Strengthen the staff at the ticket offices in the evening
Positive;Large selection of alcohol
Positive;Meat good, good shopping
Negative;There's not much choice and it's expensive here. They have little kind of drugstore
Positive;Here another shop is not so there is nothing else to recommend
Positive;Clear, fresh, nice staff
Positive;I come here almost daily, the shop suits me in every way.
Positive;Good popsicles and cheap ......
Negative;Nice shop but expensive vegetables
Negative;They only have two cash registers and they don't. There are still queues at the ticket offices
Positive;It's a convenient location, I'm close.
Positive;All right, just queues at the ticket offices.
Negative;Have trained and reliable staff.
Neutral;I work at anchor
Positive;Quality and fresh vegetables
Positive;It is a spacious shop and friendly staff.
Negative;Baskets are missing at the entrance to the store sometimes
Negative;I do not like the new entrance very much, I find it difficult to navigate
Neutral;Pretty normal shop, but she had.
Positive;Well arranged shop pleasant saleswoman
Negative;Yesterday they should not shrink fresh mushrooms and queues
Positive;They have good events here and pleasant cashiers
Positive;It's like a construction site, otherwise the food, the choice is great.
Negative;Not enough space in the shop Between the shelves
Positive;I recommend, I am satisfied here with the assortment
Positive;There is everything and at good prices
Positive;There is quiet little people and a lot of space in the aisles
Negative;I would criticize the approach of the staff from time to time
Negative;Curd cheese is sold out and it happened to me more than once.
Negative;Put goods somehow off the streets
Positive;We also have other products, fresh bread and cheese, whatever we want.
Negative;Sausages interlace with old and vegetables are rotten.
Negative;Narrow streets, it's cramped here
Negative;Sometimes the quality is not what it should be
Negative;I don't like it here. Vegetables are often rotten, the same fruit.
Positive;Extremely satisfied with the goods, staff and atmosphere.
Positive;The store can not reproach anything
Positive;Good pastries, quality assortment
Positive;shop is in the city center and shopping center
Positive;The selection of goods is wide, I buy well here
Neutral;Vegetables, events, assortment, goods
Positive;It's not a big deal and I have a quick purchase here
Positive;On my way to work I would like to buy a snack
Positive;Nicely renovated shop
Positive;Cheap goods and a large selection
Positive;But they had a handy shop, they have everything here
Positive;Satisfied, meticulous, clear ..
Positive;Special offer with which we are satisfied.
Positive;Action, space between shelves, assortment
Positive;I feel fine here. It's clear here
Negative;Everything okay, only occasionally temporary workers at the box office are insolent.
Positive;Clean, clear shop, well-sliced salami
Negative;Because there are often queues and not all cash registers
Negative;It is a small shop, little goods, little space
Positive;I only buy here, everything I need at great prices
Positive;The best shop for me and I drive well with a wheelchair
Negative;Uncomfortable staff
Positive;Good business, I have enough choice here.
Positive;Spacious shop also for stroller, I am satisfied with the products for children, the goods is also good
Positive;I shop every day, nice, clear.
Negative;Polish meat should not be here.
Negative;Little assortment, ordering of goods
Positive;Selection of goods
Negative;Good action on beer otherwise assortment not much
Positive;Not everything I need here, but I have it close here
Negative;It's a small one and therefore a small selection of everything
Positive;Very nice shopping environment
Positive;Availability, always fresh goods
Negative;Vegetables are sometimes worse, pastries unfilled
Positive;Good store layout.
Negative;Small shop area. Nothing else.
Negative;Bad quality. meat
Negative;Pleasant smaller shop, less choice.
Positive;Well done, they have everything fresh, fresh, clean, better and more spacious
Positive;I like it here
Positive;It's a good, self-service cash register here
Positive;They have everything we need here.
Positive;I make big shopping here the store is clear
Positive;Self checkout large parking lot
Negative;It is difficult to say, to enlarge or otherwise arrange.
Negative;Location cash registers, rebuild
Positive;Quality selection of meat and eggs
Positive;I don't know, I quite like it here
Positive;Large selection of fresh goods
Neutral;I wouldn't give 10 points in any store.
Positive;It's cool here, good range
Positive;Especially from here we buy everything, we do not have to go anywhere else.
Positive;Large, spacious. Large parking .. satisfied.
Positive;Clearly, well baked, nice staff.
Negative;Think about introducing self-service checkouts.
Negative;There could be a self-service checkout
Negative;A lot of people are waiting at the ticket offices
Neutral;I feel it that way
Negative;It is easily accessible. ma selection of goods but it is more expensive
Positive;I have it near my home, I shop here, and I won't be able to pull my water package from a distance.
Negative;I do not like the arrangement of goods next to confectionery needs for dogs do not understand
Negative;More self-service checkout here.
Negative;We do not like vegetables, withered radishes
Negative;Sometimes there are queues and cashiers it takes the last time the cash register stuck so I had to wait a long time
Positive;In total you can buy here, it is not a bad shop
Positive;Good choice, spacious shop, is close.
Positive;Mainly because of the price of the good action and price.
Positive;Because shopping is nice, there is a lot of space
Positive;Good vegetables, fruits and events
Negative;More replenishment of goods to make every day available
Negative;More revenge in the alley otherwise well
Positive;I like it here, just don't come here so often. Otherwise, everything is available here, clear.
Negative;Self-service cash registers are slow
Positive;It's closest to me for the apartment
Positive;Good choice, they take good care of the shop here
Positive;Well arranged, I know it here, fresh
Negative;More places behind the cash register, I can't clean up my purchases, so as not to interfere with someone, and there's a bottle machine.
Positive;The locality suits me
Negative;High queue prices, limited range
Positive;I have no problem here. I'm happy here
Negative;They have quite often sold out.
Positive;The choice is excellent, there is room
Positive;Great wines.
Negative;They are reluctant to know. I feel like I'm bothering them ....
Positive;This shop suits me well when buying good snacks
Neutral;Good pastry, long lines
Positive;What I need to buy here I always buy
Negative;The pastry is great here, but it is already dry in the evening
Positive;My favorite store, I can find everything here
Positive;I have it closest and I am satisfied
Negative;Few vegetables
Positive;Transparency, organization, action
Positive;I recommend, well priced, quality food
Positive;Saleswoman Ivetka is pleasant
Negative;Since the remodeling I do not know and I can not find what I am looking for.
Negative;There's a smaller selection of goods
Negative;They take pastries from another supplier and it was better before.
Positive;We are closely connected with the assortment and all the others.
Positive;They have quality German goods
Positive;Wide range of goods large store
Positive;It's on the way, I quickly buy fresh delicacies, fruits and vegetables.
Positive;Good reconstruction business
Negative;Well-arranged store, clean, varied offer, not waiting for check-in long.
Neutral;Arrangement
Positive;Satisfaction with food quality and location
Negative;Satisfaction, they could only buy a security store.
Negative;Sometimes the passage is complicated in the aisles
Positive;We have it closest here by car, I'm used to it
Positive;Cheap and quality food.
Negative;Uncomfortable staff
Negative;WC is dirty, small, stinks.
Positive;Quiet shopping, without queues, not many people here.
Positive;I like shopping here
Positive;Good drinks, events, cold cuts
Positive;We have it close here and park here well.
Negative;It is not possible to pay cash at the self-service checkout.
Positive;Frog I have on the way to school I like it
Positive;It's good here after reconstruction
Positive;Good prices for action stuff.
Negative;Helpful staff. Occasionally queues at the ticket offices
Positive;Clean, spacious, good bread and choice
Positive;We got it close, the shop is nice,
Negative;For small purchases are enough, for large purchases small assortment and high prices.
Positive;Action, space between shelves, assortment
Positive;Everything ok, assortment, restaurants, goods
Positive;It's okay here, I can't complain
Positive;Much satisfied, nice clean, neat.
Neutral;There is always room for improvement
Negative;Prices for the selling moment should be lower and are high.
Positive;There's a big choice, good saleswoman.
Neutral;It is not quite ideal, large selection, price quality corresponds
Negative;Self-service checkouts do not take cash
Positive;I think it's good here, well.
Positive;Nice shelves
Positive;Self-service checkout suits me, I pay by card and it speeds up waiting time at checkout
Positive;Good location and goods at reasonable prices
Negative;A self-service checkout would also be good for cash
Negative;It's not clear here, in Tesco is better fruit.
Positive;Environment, small people, assortment
Negative;To open more cash registers and freshness of meat
Positive;The best pastries and sausages
Neutral;Do not tie dogs in front of the main entrance.
Positive;Small, clear, good food.
Positive;I will buy quickly
Negative;Sometimes something is missing on the shelves
Negative;I find the bill better.
Negative;Have low quality sausages, change supplier
Negative;They do not have a sufficient selection of organic vegetables. Otherwise, I'm happy.
Positive;Free parking, well arranged, well marked shop, well oriented, great choice, good opening hours
Positive;We like to go shopping here, everything is fresh and affordable
Positive;Cheap ingredients for cooking
Positive;It is a large clear helpful staff
Negative;Shelves not suitable. Previously better. Now I'm looking.
Negative;We are used to it, we have a piece, but it is expensive here
Positive;Good goods
Positive;All right, get out and buy
Positive;Satisfied with action goods
Positive;Large and well-arranged shop. Well done here
Negative;It's all stale and moldy here.
Neutral;It's a small shop. Premises ....
Positive;Large selection of baked products
Positive;Clearer goods in the store
Negative;I miss something missing, not cozy
Positive;I buy here advice, nice shop and shop assistant
Positive;Wide offer
Negative;I don't like the assortment too much and it's a small shop
Negative;Queues at the ticket offices, too many people
Positive;Pleasant purchase, staff, clean environment.
Positive;Wide range, I buy according to the event
Neutral;I have it on my way to my friends
Negative;Little meat
Negative;Fresh, expensive, mess at the entrance.
Positive;Clean and well-arranged shop, staff.
Positive;It is easy to shop here
Positive;I have never had any problems buying
Positive;The store is more likeable to me than Kaufland, it is better arranged.
Positive;Every day fresh bread, quality meats, prices
Negative;There could be lower prices for staple foods.
Positive;It is the most affordable for me, they have solid prices and good choice, especially good pastries
Negative;Bad vegetables and meat is weird.
Negative;It is more expensive than other stores
Negative;Queues at checkout.
Neutral;Staff, pastries, vegetables
Positive;Nice shop, great choice, good, fresh goods.
Negative;Open more cash registers, there are queues
Negative;The staff used to be better, alternating young people, and the shop looks accordingly.
Positive;They have the largest selection of each item and it's quite cheap
Positive;It is such a common smaller shop is good to buy here and sometimes have discounts
Positive;Clear promotions, discounts, not frmol.
Negative;bad staff
Positive;Good store transparency
Negative;Self-service checkout also for cash
Positive;Selection good, there is peace, everything clear.
Positive;It's been improving here lately
Positive;It's a good deal and I like it here.
Positive;Quick purchase, for how small it is, there is a good choice
Negative;Greater cleanliness better service power alternates with employees
Positive;Good food choice. Selection of detergents.
Negative;There is a big mess around the store and inside
Negative;More cash registers opened and the most cashed cash register had little storage space.
Negative;More and more replenish the shelves with beer and sausage salesmen to be smarter, often get something in the region and not even look if someone is standing there.
Negative;You are squeezing in a small space with lots of other customers
Negative;Hangar look, unpleasant environment
Positive;I work nearby, I bet here for a quick purchase
Positive;With a little we come here often, at noon, few people, good choice
Negative;If possible, rebuild the hypermarket
Positive;Cheap goods, pleasant environment
Positive;Pleasant environment staff so
Positive;A good selection of muesli bars.
Negative;More shopping cart for small shopping, I don't suit big
Negative;There are queues, otherwise everything went well, well preelany shop.
Positive;Goods enough
Negative;There is no fresh bread, otherwise
Positive;It's a big deal and it's a great choice and peace of mind
Negative;Improve actions, more affordable goods.
Neutral;Except for price discrepancies, there is no problem here
Positive;I'm very satisfied, I like it here
Neutral;It's better after rebuilding, but it's not that.
Negative;More professional staff, more gluten-free food
Positive;You can park here well and you can use the restaurant
Positive;Availability, opening hours. Range of goods
Positive;Fruits fresh vegetables
Neutral;Morning for pastries for breakfast, theme weeks.
Negative;It's a big deal That choice isn't too big here
Positive;Good satisfaction
Positive;The saleswoman is pleasant
Negative;The nearest store, just prices are higher
Negative;Spatially and conceptually unfashionable shop
Negative;There's no big oven for business
Positive;There are no queues and I can get everything
Negative;Around 5 pm, half past six, not even the croissant.
Positive;Spaciousness of the shop, assortment selection
Positive;We are satisfied with the selection of goods.
Positive;Pleasant service at the checkout
Negative;Missing orientation sign on the ceiling
Positive;Now it changed here and whether it made me think that there is more goods. Spacious shop, quickly checked in at the checkout
Positive;I got it on my way. There aren't so many people
Negative;There is no product selection
Positive;I shop here almost daily and I am satisfied
Positive;Good fresh fresh shop
Positive;Good and fresh food, there's a lot here.
Negative;Long queues throughout the day
Positive;I have no reservation
Negative;It's a good deal but tiny
Positive;Good environment, good location
Positive;Good selection of food, new shelves well spacious
Negative;I don't like the layout of the store
Positive;The normal business is smaller, but the choice is
Positive;Very good pastry and I also like to buy some socks or linen etc.
Positive;Good business in the housing estate is quite large, I buy what I need
Negative;I'm getting a little lost here. It's too big for me
Positive;There's just a big choice. I'll buy everything here
Positive;There is a lot of action cheap but advice at checkout every time
Negative;Few employees and some are unwilling
Negative;They do not have goods to action
Positive;Calm, good food, good quality and fresh
Negative;Lower prices, more choice of fruits
Positive;Few people, toilets, goods range is great.
Positive;I'm close and I come here often
Negative;Clarify, better orientation boards
Negative;Back shelf layout, high prices
Positive;They have a large selection of fruits and vegetables and also buy cosmetics and consumer goods.
Negative;I am quite satisfied here, I just do not like the layout of the store.
Negative;Such was the outdated store
Negative;Improve the behavior of some cashiers and some employees in delicacies
Positive;It is enough for regular daily shopping. the goods are nice, fresh
Negative;Satisfaction, big waiting at the checkout at times, lack of staff, less fresh bread.
Negative;Few goods, sometimes there are half-empty shelves
Positive;At this point, they won the closest
Negative;I am always looking for chaotically placed goods
Negative;Big mess in front of shop
Positive;Not everything I need here, but I have it close here
Negative;Watch price tags to be the same price at the checkout and shelf
Negative;Better organize groceries at the store
Positive;Fresh bakery
Negative;High prices of fruit
Negative;After moving the set I do not know
Negative;Larger parking is small I do not want to pay in the parking house.
Positive;Great shop good choice friendly staff
Positive;Pleasant saleswoman, ample choice at the small shop
Positive;Wide range of products at the small shop, we sit down what we need, we had no problem here.
Positive;They have cheaper products and good events
Positive;Sufficient offer for the local shop, well redesigned, friendly staff.
Positive;Great, smaller shop, everything I need, cheap prices
Positive;Not many people here
Positive;Large selection of well arranged shop well goods and events
Negative;Sometimes there are queues and sometimes the wrong price tag for goods, especially when the action changes.
Negative;The store could be larger, has a confined space
Negative;Queues for sausages
Positive;It's not the morning queues, enough selections of everything
Positive;Well, because it's very clear here. I like this
Positive;Willing staff
Positive;Satisfaction, nice rooms, few people
Neutral;Friendly environment, distance
Positive;I'll buy what I need here. Sicks girls at the box office
Positive;I recommend, I used to shop here
Negative;It's cheap but there are queues at the checkout.
Negative;Refurbished prices
Positive;Cheap shop in the middle of the city.
Positive;Action, close to home, I go regularly
Negative;Prices do not sit at the box office, and on the shelves
Negative;They always have very good and fresh food but unpleasant staff.
Positive;Complies with assortment and shop environment
Positive;It's a total counseling shop
Negative;Have more discounts and promotions
Negative;Improve freshness of salad and bread
Negative;More persnonal, more refill, better quality, rebuild space.
Positive;Availability, large areas to buy spacious
Negative;Occupancy more cash registers, so you can pay with meal vouchers for self-service
Negative;Insufficiently equipped compared to others
Positive;For me a normal shop where we go to make big purchases everything gets here sometimes the state is not able to complete shelves
Positive;It is close, spacious shop, good
Positive;Very nice, clear, it has a level here
Negative;Little space at the cash registers, short cash registers
Negative;I can't find everything
Positive;It is enough for me, the shop is sufficient for me, friendly staff
Positive;Satisfaction is difficult to come here
Positive;Parking is good here, a large parking lot near the entrance
Positive;I only shop here for something that is very convenient
Positive;Good quality, fresh, close
Positive;Nice shelves
Positive;Assortment selection, quality fruits and vegetables
Negative;High prices compared to competitors.
Positive;Good shopping here, not many people here
Positive;Fresh sausages, I like to buy.
Negative;Foods that are discounted are at a good price, otherwise they are more expensive
Negative;Good offer good prices, longer queues
Positive;It's at the bus stop, I can have lunch here
Positive;Good pastries, quality assortment
Positive;Low prices, quality food and a large selection
Negative;I don't like the layout after the rebuild,
Negative;Enlarge the store to the floor
Positive;It's nice new clean and better stocked
Negative;Because fruits and vegetables sometimes withered or it's more expensive here
Negative;There is no snack and there is no possibility to sit down for coffee
Neutral;The store is just right, the employees take turns
Negative;Most of the action goods and others are missing
Negative;It's not like that anymore, annoying saleswoman
Positive;I'm quite satisfied here, it's good here
Positive;What I need to buy here is nice here
Negative;It's clear, but more expensive than Penny.
Positive;Spacious shop also for stroller, I am satisfied with the products for children, the goods is also good
Positive;What I need to buy here is nice here
Positive;It's close here
Negative;Bad fruit.
Negative;She had cash registers, I can't self-service yet
Negative;Increase space behind cash registers.
Negative;On ordinary shopping cool and only sometimes missing action items
Negative;Very big shop, sometimes I do not know
Positive;Satisfied, large selection of vegetables, clear, nice.
Positive;Nice shop, well-arranged goods.
Negative;Narrow streets at the box office, they should do wider
Negative;Frequent queues at checkout, otherwise OK.
Negative;Lately it's been a mess
Positive;I like here, good shopping, friendly staff
Positive;There is also a large parking lot and are generally interested in customers.
Negative;Queue at the cash register to correct, long waiting.
Negative;There are few goods, I buy more in Zittau.
Positive;Great shopping here
Neutral;What I wanted it I got
Neutral;Satisfied, but it could be better.
Negative;Sometimes long queues
Negative;Expand the range of yogurts.
Positive;Basic foods are cheap and fresh
Negative;Big queue at the box office
Negative;Prices do not match when the event ends are the same prices
Negative;Waiting at the checkout.
Positive;Location, quality of goods, large selection, pastries great
Positive;I come here mainly for events not here, too many people
Positive;Fresh food
Positive;They have good prices, not many people here.
Positive;I have the closest store I used to
Positive;Here I have a job, so I shop here.
Positive;Well, I know where to find, clean
Negative;For meat and delicacies can not walk here, there is usually an unpleasant attendant at the cash register
Positive;Nice service, a lot of good assortment
Positive;Good food, big shop
Positive;Good quality, fresh, close
Negative;I miss the self-service checkout
Negative;Sometimes goods are missing
Positive;Cleanly, tidy and clear shop
Positive;Good selection of goods
Negative;They have nothing to do again.
Negative;There was a cruel slice in the leaflet and there is no shop, he didn't come at all
Neutral;He has no problem
Negative;Because there is no such choice of goods
Negative;Sometimes I have to pick up the fruit.
Negative;Nothing here is just expensive
Positive;Fresh food spacious shop bigger choice
Negative;Improving food quality.
Negative;Unclear, it's too big for me
Negative;I don't think it's a bad business but it's too cramped here badly with a buggy about enough
Negative;Satisfaction just had a selection of goods
Negative;Big queues at checkout whenever we're here
Positive;I'll buy everything I need here.
Negative;Ground meat suppliers and discuss vegetables more often
Positive;I think the store offers a wide range and is trying to do everything for the customer
Negative;Vegetables are sometimes poor,
Positive;Evening no people, long opening hours, it's clear and clean here.
Positive;Large shop, spacious, there is a large selection.
Positive;They have other events here than elsewhere and they park here well.
Positive;It's a big cheap shop to buy everything you need
Positive;There's nothing I miss the self-service cash registers are great
Positive;Nice service.
Positive;I am satisfied here with a wide selection even outside the food
Positive;I'm quite satisfied here is more business
Positive;I like that it's clear and practical here
Negative;The quality of meat worse, and queue cash register
Positive;Because it is clear and tidy
Negative;I don't like the new store layout.
Positive;Speed at the checkout, it's great here
Negative;There is little light, the queue at the box office
Positive;Good action, nice saleswoman
Positive;Cheap beer
Positive;Clean, neat, organized,
Positive;Large selection of goods and assortment, clarity
Negative;There is a bad display at the self-service checkout
Positive;Ma gets special offers longer opening hours
Positive;I am satisfied here, the staff is willing
Positive;Nice shop well stocked
Negative;Queues at checkout.
Positive;I can get what we love action flyers
Negative;It's very expensive and confusing for me
Positive;Good store transparency
Negative;It's expensive, I prefer shopping elsewhere.
Negative;Sometimes prices don't fit
Positive;Buy everything, assortment, clarity
Positive;The store is well located, everything is easy to find
Negative;Unacceptable saleswomen will not be willing.
Negative;It is difficult to say, to enlarge or otherwise arrange.
Negative;Very expensive meat although in action
Positive;Come on, it's not that expensive here. It's quite acceptable
Positive;Availability of goods, prices
Negative;Open some better bistro or pastry shop just for coffee
Positive;Pleasant environment, most often I come here.
Positive;Good prices, good selection of goods, good parking.
Positive;Shop near the residence
Positive;Nice service, good pastries, queues.
Positive;There's everything I need to buy
Positive;Large quality assortment
Positive;Have a choice, nice environment
Positive;What I want, I buy here
Negative;It's hard to get used to the new layout
Positive;Nice sausages, good bread, nice vegetables and fruits
Neutral;Selection of fruits
Negative;Sometimes prices don't fit. Sometimes they are annoying cashiers. And expired goods
Positive;Quality raw materials, wide assortment, clothing super, quality
Positive;Good availability, it's right next to the bus stop, big shop, I'm satisfied
Positive;I'm happy here I only come here
Positive;The saleswoman is pleasant
Negative;It's pretty confusing here
Negative;To improve the behavior of some shop assistants, sometimes I can stain more
Positive;Good selection of matching goods.
Negative;It's expensive so I don't come here much
Neutral;We are quite satisfied with everyone here only when the events begin so the employees do not manage to replenish the goods and checkout.
Positive;There's a wide selection of fruits and vegetables, and that's for me
Negative;Few vegetables
Positive;Small shop, selection, good staff.
Positive;Very nice and pleasant environment
Positive;You can park here well and you can use the restaurant
Positive;I park well here and I have a quick purchase here
Positive;There is clarity, good quality.
Negative;Better would be redesigned shop to newer
Negative;For smaller shopping it is pretty cool. For larger purchases too expensive and had a small selection of foods. Meat disaster
Positive;Sufficient offer, fresh food
Positive;Wide range of food, well done.
Positive;Now in the morning it is excellent shopping even here is no queue
Negative;We are used to it, we have a piece, but it is expensive here
Negative;It's more expensive than elsewhere.
Positive;Mainly thanks to friendly staff
Positive;They have a decent selection of vegetables and fruits, organic products.
Positive;Well-arranged store, complete goods and willingly saleswoman
Positive;Lots of good deals in one place
Positive;I like everything here is in order.
Negative;Pastry is missing in the evening
Negative;Very narrow streets and little space.
Negative;Sometimes the price on the cash register is slightly different than the price list.
Positive;I am always satisfied here, the choice is sufficient.
Negative;There are no rolls and buns in the evening
Negative;More action goods self-service checkout
Negative;It's not a bad shop, they just had a selection of goods
Negative;Make it more discounts and all the time
Positive;Space, assortment, distance
Positive;There is a lot of action cheap but advice at checkout every time
Positive;Big shop to get everything you need
Positive;I like to have a meeting shop someone is who advice.
Positive;Large selection of goods, spacious parking. Satisfied ..
Negative;Orientation in goods.
Positive;Satisfied, I live next to the store.
Negative;They do not completely fresh vegetables
Positive;Nice shop, a lot has improved here, nice fresh sausages
Positive;I would recommend to my friends is a nice innovation store.
Positive;Here's the closest one. This is sufficient for a basic purchase.
Positive;Well reconstructed shop, we like here
Positive;Wide offer
Positive;They have great events at the end of closing time. Great goods and prices.
Positive;There are very good events and fresh food
Negative;Old salami and meat exposed for a long time.
Positive;I'll get what I need for a smaller purchase
Positive;Well, I will buy here
Positive;More shops together, other things can buy well
Negative;It's close to me because I come here but it's expensive
Neutral;They have everything in Kaufland, and it's close to the barrack
Positive;It improved a lot here,
Positive;Good shop, I like it here, good shopping here
Positive;I go shopping here only, I'm happy here.
Negative;Normal business. Now that the other Tesco floors are no longer here, I don't like it here. I miss the stationery and toys.
Positive;The shop is spacious and bright. Wide range, good action prices. Self-service zone.
Positive;It is a bit better than consumption in our country.
Negative;On behalf of goods, goods from leaflets are missing
Positive;It's much better now than before
Negative;Sometimes it comes here unclear
Positive;I always find. O ch i
Positive;Selection good, there is peace, everything clear.
Positive;Quick purchase, self-service cash registers
Positive;More shopping is cool, fruits, vegetables all ok
Positive;I have it close here, good shopping here, it's just big
Positive;What we wanted is quite clear
Positive;Fresh fruits and vegetables, pastries, well arranged
Negative;They do not completely fresh vegetables
Negative;Sometimes there are queues at the checkout.
Negative;There are only self-service cash registers, only two are normal and mostly closed and I do not like self-service so I don't come here often
Neutral;Well, it's a small shop. I will buy here quickly, but not everything
Negative;I find it harder to navigate here, to make it clearer
Negative;The quality of meat worse, and queue cash register
Negative;There are no prices, big queues, more cash registers
Positive;Normal business, we buy what we need. Pleasant service
Positive;Cleanly, helpful staff, nice fruit
Positive;Cheap shop in the middle of the city.
Positive;My store has a heartbeat
Positive;Pretty good choice, pretty good prices, adjusted shop
Positive;I have good shopping here, they have what I want.
Positive;Buying good, friendly staff, it's neatly exposed here
Positive;Large selection of fruits
Positive;Super pastry
Positive;Availability, low price range
Negative;There is little space at the cash registers otherwise it's so average
Positive;They have everything here and after the reconstruction it is clear and clean
Negative;I don't like the meat here I don't like the ball
Negative;Little space suits me but sometimes the quality of meat is worse
Positive;Excellent fruits and vegetables.
Positive;It's close to me for the bus
Negative;More open cash registers.
Neutral;Business I do not know what to say simply normal
Positive;Pleasant environment, business is not very large
Negative;Discount food, more cash registers.
